Region,Sub Region,Country,Year,theft_count,Theft_private_cars_count,prison_count,burglary_count,cjs_total_prosecuted,cjs_total_convicted,cjs_total_court,cjs_total_contact,homicide_count
Africa,Eastern Africa,Mauritius,2003,11062,988,"2,605",1643,15777,20257,24799,0,39
Africa,Eastern Africa,Uganda,2003,23513,837,"17,952",5716,51924,19455,0,51924,2136
Africa,Eastern Africa,Zimbabwe,2003,176648,1051,"21,125",71941,0,40843,116727,310358,1360
Africa,Middle Africa,Cameroon,2003,11839,0,"20,000",0,0,0,0,0,1002
Africa,Northern Africa,Egypt,2003,30116,1994,0,0,0,0,0,110986,471
Africa,Northern Africa,Morocco,2003,69789,6978,"54,542",2908,0,0,0,296419,510
Africa,Southern Africa,Eswatini,2003,21535,341,"3,169",8470,0,0,0,0,135
Americas,Central America,Costa Rica,2003,6877,5304,0,0,0,3627,6903,8646,300
Americas,Northern America,Bermuda,2003,969,1112,325,936,0,0,0,0,2
Americas,Northern America,Canada,2003,720021,174208,"34,153",284925,430192,271733,430192,626671,549
Americas,Northern America,United States of America,2003,7026802,1261226,"2,153,000",2154834,0,0,0,13646642,16528
Americas,South America,Ecuador,2003,4277,5601,"9,866",10224,0,2248,3928,27439,1937
Americas,South America,Peru,2003,58126,8722,"28,836",0,0,0,0,51820,0
Americas,South America,Suriname,2003,14618,71,0,2476,0,0,0,3723,60
Americas,South America,Uruguay,2003,96606,4456,"6,523",9741,0,0,11060,125773,197
Asia,Central Asia,Kyrgyzstan,2003,14383,219,"16,934",0,19584,16444,20539,17650,420
Asia,Eastern Asia,Hong Kong Special Administrative Region of China,2003,40887,2301,0,9076,0,0,0,0,0
Asia,Eastern Asia,Mongolia,2003,8782,0,0,0,0,10906,10906,17641,343
Asia,Eastern Asia,Republic of Korea,2003,187352,0,"57,336",0,1298812,197096,213351,1917210,387
Asia,South-Eastern Asia,Brunei Darussalam,2003,898,148,457,336,0,0,0,2550,3
Asia,South-Eastern Asia,Philippines,2003,9801,0,0,0,0,0,0,37903,6436
Asia,South-Eastern Asia,Singapore,2003,15086,1190,"17,375",1337,16924,0,27838,23121,27
Asia,Southern Asia,Iran (Islamic Republic of),2003,104746,81075,"157,267",0,0,0,0,0,1803
Asia,Southern Asia,Sri Lanka,2003,23398,752,0,16768,322759,0,0,0,1310
Asia,Western Asia,Armenia,2003,2831,124,"2,856",0,0,4567,0,0,76
Asia,Western Asia,Azerbaijan,2003,1820,80,0,757,11632,0,0,13011,183
Asia,Western Asia,Cyprus,2003,1504,0,359,3155,95093,0,95093,8570,14
Asia,Western Asia,Qatar,2003,754,65,569,264,0,0,0,6299,0
Asia,Western Asia,State of Palestine,2003,3597,181,"4,285",62,0,1164,0,3121,94
Asia,Western Asia,Syrian Arab Republic,2003,12349,529,"11,829",0,0,0,0,75643,405
